,id,name,neighbourhood,room_type,price
0,69074,Beautiful oasis of plants & art @ best location,Central & Western,Entire home/apt,1391.0
1,75083,SoHo off Hollywood Road  3B,Central & Western,Entire home/apt,403.0
2,103760,Central Centre 5 min walk to/from Central MTR,Central & Western,Entire home/apt,1244.0
3,104626,Entire Flat - Next to Man Mo Temple,Central & Western,Entire home/apt,2650.0
4,132773,Fabulous 2 Bdrm Aprt Open kitchen,Central & Western,Entire home/apt,1454.0
5,163664,Soho off Hollywood Road P4,Central & Western,Entire home/apt,612.0
6,163742,Soho off Hollywood Road P3,Central & Western,Entire home/apt,1055.0
7,228510,Creative Residence in Yau Ma Tei,Yau Tsim Mong,Private room,700.0
8,248140,Bright Studio - Soho - Central HK,Central & Western,Entire home/apt,795.0
9,274589,"8 mins HKCEC, 5 mins MTR Wan Chai, nr Causeway Bay",Wan Chai,Entire home/apt,1002.0
10,278277,FANTASTIC (HK) in the heart of HK,Wan Chai,Entire home/apt,1480.0
11,280746,Beautiful 3 bedroom designer Apt,Yuen Long,Entire home/apt,953.0
12,306515,"HongKong,Central Bright Double Room",Central & Western,Entire home/apt,1136.0
13,320447,3BedR + 3BathR (3-10 Guests) 600SF,Wan Chai,Entire home/apt,2297.0
14,412404,Budget Apt 1-5 px Tsim Sha Tsui Mtr,Yau Tsim Mong,Entire home/apt,550.0
15,463214,Awesome flat in Sai Ying Pun with Harbour view!!,Central & Western,Entire home/apt,1420.0
16,498484,Cosy apartment in central Kowloon,Yau Tsim Mong,Entire home/apt,535.0
17,505456,GREEN NEST IN  SHEUNG WAN HEART,Central & Western,Entire home/apt,850.0
18,548840,"GreatStudio NewDecor, Nice Area 3rd",Central & Western,Entire home/apt,812.0
19,560337,High floor/Bay view in Kowloon !!,Kowloon City,Private room,250.0
20,562683,Mixed Dorm Bed#1/Wan Chai/close to MTR,Wan Chai,Shared room,134.0
21,562775,Mixed Dorm Bed#2/Wan Chai/close to MTR,Wan Chai,Shared room,134.0
22,562795,Mixed Dorm Bed#3/Wan Chai/close to MTR,Wan Chai,Shared room,134.0
23,562808,Mixed Dorm Bed#4/Wan Chai/close to MTR,Wan Chai,Shared room,134.0
24,562817,Mixed Dorm Bed#A/Wan Chai/close to MTR,Wan Chai,Shared room,134.0
25,562840,Mixed Dorm Bed#B/Wan Chai/close to MTR,Wan Chai,Shared room,134.0
26,562859,Grand convenient studio! (C),Wan Chai,Entire home/apt,420.0
27,578652,Modern family-friendly suite in fishing village,Islands,Hotel room,2101.0
28,586083,Budget Studio1-5p Tsim Sha Tsui MTR,Yau Tsim Mong,Entire home/apt,450.0
29,598668,Special offer! 1 mins walk from MTR Causeway Bay!,Wan Chai,Private room,350.0
30,603049,Deluxe Room@Espace Elastique-Tai O,Islands,Hotel room,1378.0
31,603050,Standard Rm@Espace Elastique-Tai O,Islands,Hotel room,1039.0
32,603051,"""Lotus""-Zen styled room @Espace Elastique of Tai O",Islands,Hotel room,655.0
33,604953,SPACIOUS SEA VIEW 3BR 2 BATH | KIDS & PETS OK,Islands,Entire home/apt,1020.0
34,634726,"BIG 3BR APT IN WANCHAI, HEART OF HK",Wan Chai,Entire home/apt,1000.0
35,645404,Creative Residence in Kowloon . WM,Yau Tsim Mong,Hotel room,236.0
36,646645,Creative Residence. Private Room,Yau Tsim Mong,Private room,280.0
37,711099,Sharing the sofa of a local family. (Female only),Yuen Long,Shared room,250.0
38,714585,Group Favour (DH) in Wan Chai,Wan Chai,Entire home/apt,1978.0
39,728122,Twin bed room for budget travellers,Yau Tsim Mong,Private room,300.0
40,733192,2 BR Quiet 400²ft 1 Min walk to MTR Prime Location,Yau Tsim Mong,Entire home/apt,703.0
41,741955,Double bed room for 2 travellers,Yau Tsim Mong,Private room,396.0
42,742040,Private room for single traveller,Yau Tsim Mong,Private room,291.0
43,764696,Single bed room with green view,North,Private room,350.0
44,767022,Hong Kong - Great views/Location!,Southern,Entire home/apt,5039.0
45,767160,Victoria Park View,Wan Chai,Entire home/apt,559.0
46,767500,Cozy Double Rm 1 next to Jordan MTR,Yau Tsim Mong,Private room,328.0
47,773468,"Modern, quiet apt with park view",Central & Western,Entire home/apt,850.0
48,775458,Harbour Front + City Center + Cozy,Wan Chai,Entire home/apt,1349.0
49,782604,2BRs Serviced Apartment@KennedyTown,Central & Western,Entire home/apt,720.0
50,792974,STUDIO with ROOF in HEART of SOHO,Central & Western,Entire home/apt,1024.0
51,816463,Colonial Style Designer Apartment,Central & Western,Entire home/apt,914.0
52,823455,HK 2br for 4-6ppl 香港2臥1厅1浴可住4-6人,Sham Shui Po,Entire home/apt,866.0
53,824618,浪漫沙滩露营❤转机高铁广深澳门中环旺角,Tuen Mun,Entire home/apt,279.0
54,825791,QUEEN BED - Austin Avenue T.S.T MTR,Yau Tsim Mong,Entire home/apt,540.0
55,825843,"(25-3), 4 beds girl room 女生房,3 Mins to jordan MTR",Yau Tsim Mong,Shared room,129.0
56,825899,"(25-4), 4 beds girl room 女生房,3 Mins to jordan MTR",Yau Tsim Mong,Shared room,129.0
57,844447,Cozy Apartment in Wan Chai,Wan Chai,Entire home/apt,792.0
58,846482,Japanese style in Sai Ying Pun,Central & Western,Entire home/apt,620.0
59,846855,apartment in wan chai EE,Wan Chai,Private room,400.0
60,850531,❤❤SuperHost's Private Bedroom on HK Island @TinHau,Wan Chai,Private room,254.0
61,860891,Two Bedroom Apartment W. MID-LEVELS,Central & Western,Entire home/apt,1163.0
62,860892,Two Bedrooms Apartmt @ W.Mid-Level,Central & Western,Entire home/apt,1124.0
63,869969,Studio available in Prince Edward,Kowloon City,Private room,217.0
64,870046,10 mins to CITY U --------- by MTR,Yau Tsim Mong,Entire home/apt,197.0
65,872466,Guest Room w/ Double Bed in Spacious Flat,Yuen Long,Private room,181.0
66,881740,"Tsim Sha Tsui, newly 2 beds apartment",Yau Tsim Mong,Entire home/apt,1180.0
67,894221,Best room for you near MTR,Yau Tsim Mong,Private room,167.0
68,894224,Great Place to stay. TST,Yau Tsim Mong,Private room,256.0
69,897942,"Tsim Sha Tsui, newly 2 beds apt. I.",Yau Tsim Mong,Entire home/apt,1180.0
70,903169,Nice room available in Yau ma tei(y8f),Yau Tsim Mong,Private room,101.0
71,911684,Wanchai Pigeon Burrow — Studio Flat,Wan Chai,Entire home/apt,330.0
72,923017,Comfort Home in Prince Edward Mtr 4 beds,Yau Tsim Mong,Entire home/apt,1071.0
73,957513,"Hollywood Rd, Spacious and Sunny",Central & Western,Entire home/apt,840.0
74,978472,New Grand Apartment in Hung Hom,Kowloon City,Entire home/apt,1000.0
75,985636,A cozy corner in Causeway Bay,Wan Chai,Private room,200.0
76,992390,Bright quiet studio in Hong Kong Central district,Central & Western,Entire home/apt,588.0
77,999123,zen style apartment in Central,Central & Western,Entire home/apt,5243.0
78,1007684,Nice room in Caine Road,Southern,Private room,300.0
79,1008590,9 bed mixed dorm ( shared bathroom),Yau Tsim Mong,Shared room,191.0
